survived,pclass,sex,age,sibsp,parch,ticket_fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,is_child,is_elderly,age_group,total_people,fare_per_person,sex_encoded,class_num,survived_bool,name_length,title,log_fare,family_size,is_alone,embarked_full,fare_rounded
0,3,female,8.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,True,False,Child,5,4.215,1,3,False,5,child,3.0944457464900235,4,False,Southampton,21.08
1,3,female,38.0,1,5,31.3875,S,Third,woman,False,,Southampton,yes,False,False,False,Adult,7,4.483928571428572,1,3,True,5,woman,3.4777725458882283,6,False,Southampton,31.39
0,3,male,28.0,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,False,False,Adult,1,7.225,0,3,False,3,man,2.1071782966514356,0,True,Cherbourg,7.22
0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False,False,False,Adult,6,43.833333333333336,0,1,False,3,man,5.575949103146316,5,False,Southampton,263.0
1,3,female,28.0,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,False,False,Adult,1,7.8792,1,3,True,5,woman,2.1837114628556327,0,True,Queenstown,7.88
0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,False,False,Adult,1,7.8958,0,3,False,3,man,2.1855792552411137,0,True,Southampton,7.9
0,1,male,40.0,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,False,False,Adult,1,27.7208,0,1,False,3,man,3.357621598945279,0,True,Cherbourg,27.72
1,1,female,28.0,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False,False,False,Adult,2,73.2604,1,1,True,5,woman,4.993969182787072,1,False,Cherbourg,146.52
1,3,female,28.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,False,False,Adult,1,7.75,1,3,True,5,woman,2.169053700369523,0,True,Queenstown,7.75
0,2,male,66.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,False,True,Senior,1,10.5,0,2,False,3,man,2.4423470353692043,0,True,Southampton,10.5
0,1,male,28.0,1,0,82.1708,C,First,man,True,,Cherbourg,no,False,False,False,Adult,2,41.0854,0,1,False,3,man,4.420896324687287,1,False,Cherbourg,82.17
0,1,male,42.0,1,0,52.0,S,First,man,True,,Southampton,no,False,False,False,Adult,2,26.0,0,1,False,3,man,3.970291913552122,1,False,Southampton,52.0
1,3,male,28.0,0,0,7.2292,C,Third,man,True,,Cherbourg,yes,True,False,False,Adult,1,7.2292,0,3,True,3,man,2.1076888046179385,0,True,Cherbourg,7.23
0,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False,False,Adult,1,8.05,0,3,False,3,man,2.2027647577118348,0,True,Southampton,8.05
0,3,female,18.0,2,0,18.0,S,Third,woman,False,,Southampton,no,False,False,False,Teen,3,6.0,1,3,False,5,woman,2.9444389791664403,2,False,Southampton,18.0
1,3,female,14.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,False,False,Teen,2,5.62085,1,3,True,5,child,2.5048481563289,1,False,Cherbourg,11.24
0,3,female,40.0,1,0,9.475,S,Third,woman,False,,Southampton,no,False,False,False,Adult,2,4.7375,1,3,False,5,woman,2.348991465808201,1,False,Southampton,9.48
0,2,female,27.0,1,0,21.0,S,Second,woman,False,,Southampton,no,False,False,False,Adult,2,10.5,1,2,False,5,woman,3.091042453358316,1,False,Southampton,21.0
0,3,male,28.0,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,False,False,Adult,1,7.8958,0,3,False,3,man,2.1855792552411137,0,True,Cherbourg,7.9
1,2,female,3.0,1,2,41.5792,C,Second,child,False,,Cherbourg,yes,False,True,False,Child,4,10.3948,1,2,True,5,child,3.7513658711253766,3,False,Cherbourg,41.58
1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,False,False,Adult,1,7.8792,1,3,True,5,woman,2.1837114628556327,0,True,Queenstown,7.88
0,3,male,28.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False,False,Adult,1,8.05,0,3,False,3,man,2.2027647577118348,0,True,Southampton,8.05
0,3,male,28.0,1,0,15.5,Q,Third,man,True,,Queenstown,no,False,False,False,Adult,2,7.75,0,3,False,3,man,2.803360380906535,1,False,Queenstown,15.5
1,3,female,28.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,False,False,Adult,1,7.75,1,3,True,5,woman,2.169053700369523,0,True,Queenstown,7.75
0,3,male,28.0,2,0,21.6792,C,Third,man,True,,Cherbourg,no,False,False,False,Adult,3,7.226400000000001,0,3,False,3,man,3.1214482048688246,2,False,Cherbourg,21.68
0,3,female,18.0,1,0,17.8,S,Third,woman,False,,Southampton,no,False,False,False,Teen,2,8.9,1,3,False,5,woman,2.9338568698359038,1,False,Southampton,17.8
0,3,male,7.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,True,False,Child,6,6.614583333333333,0,3,False,5,child,3.705920919968788,5,False,Southampton,39.69
0,3,male,21.0,0,0,7.8,S,Third,man,True,,Southampton,no,True,False,False,Adult,1,7.8,0,3,False,3,man,2.174751721484161,0,True,Southampton,7.8
1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False,False,False,Adult,2,38.3646,1,1,True,5,woman,4.353230991152628,1,False,Cherbourg,76.73
1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,False,False,Adult,2,13.0,1,2,True,5,woman,3.295836866004329,1,False,Southampton,26.0
0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False,False,True,Senior,2,30.9896,0,1,False,3,man,4.142804513146981,1,False,Cherbourg,61.98
1,1,male,28.0,0,0,35.5,S,First,man,True,C,Southampton,yes,True,False,False,Adult,1,35.5,0,1,True,3,man,3.597312260588446,0,True,Southampton,35.5
1,2,female,21.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,False,False,Adult,1,10.5,1,2,True,5,woman,2.4423470353692043,0,True,Southampton,10.5
0,3,male,28.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,False,False,Adult,1,7.2292,0,3,False,3,man,2.1076888046179385,0,True,Cherbourg,7.23
1,2,female,5.0,1,2,27.75,S,Second,child,False,,Southampton,yes,False,True,False,Child,4,6.9375,1,2,True,5,child,3.3586377672433594,3,False,Southampton,27.75
0,3,male,11.0,5,2,46.9,S,Third,child,False,,Southampton,no,False,True,False,Child,8,5.8625,0,3,False,5,child,3.8691155044168695,7,False,Southampton,46.9
0,3,male,22.0,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,False,False,Adult,1,7.2292,0,3,False,3,man,2.1076888046179385,0,True,Cherbourg,7.23
1,1,female,38.0,0,0,80.0,S,First,woman,False,B,Unknown,yes,True,False,False,Adult,1,80.0,1,1,True,5,woman,4.394449154672439,0,True,Southampton,80.0
0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False,False,False,Adult,2,41.7375,0,1,False,3,man,4.436455632600354,1,False,Southampton,83.48
0,3,male,4.0,3,2,27.9,S,Third,child,False,,Southampton,no,False,True,False,Child,6,4.6499999999999995,0,3,False,5,child,3.3638415951183864,5,False,Southampton,27.9
0,1,male,28.0,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,False,False,Adult,1,27.7208,0,1,False,3,man,3.357621598945279,0,True,Cherbourg,27.72
1,3,male,28.0,1,1,15.2458,C,Third,man,True,,Cherbourg,yes,False,False,False,Adult,3,5.081933333333333,0,3,True,3,man,2.7878344138303452,2,False,Cherbourg,15.25
1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,False,False,Adult,1,10.5,1,2,True,5,woman,2.4423470353692043,0,True,Southampton,10.5
0,3,male,19.0,0,0,8.1583,S,Third,man,True,,Southampton,no,True,False,False,Adult,1,8.1583,0,3,False,3,man,2.2146605719425225,0,True,Southampton,8.16
1,3,female,17.0,4,2,7.925,S,Third,woman,False,,Southampton,yes,False,False,False,Teen,7,1.1321428571428571,1,3,True,5,woman,2.188856327665703,6,False,Southampton,7.92
0,3,male,26.0,2,0,8.6625,S,Third,man,True,,Southampton,no,False,False,False,Adult,3,2.8874999999999997,0,3,False,3,man,2.2682524139135403,2,False,Southampton,8.66
0,2,male,32.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,False,False,Adult,1,10.5,0,2,False,3,man,2.4423470353692043,0,True,Southampton,10.5
0,3,female,16.0,5,2,46.9,S,Third,woman,False,,Southampton,no,False,False,False,Teen,8,5.8625,1,3,False,5,woman,3.8691155044168695,7,False,Southampton,46.9
0,2,male,21.0,0,0,73.5,S,Second,man,True,,Southampton,no,True,False,False,Adult,1,73.5,0,2,False,3,man,4.310799125385514,0,True,Southampton,73.5
0,3,male,26.0,1,0,14.4542,C,Third,man,True,,Cherbourg,no,False,False,False,Adult,2,7.2271,0,3,False,3,man,2.737880811060884,1,False,Cherbourg,14.45
1,3,male,32.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True,False,False,Adult,1,56.4958,0,3,True,3,man,4.05171190165724,0,True,Southampton,56.5
0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True,False,False,Adult,1,7.65,0,3,False,3,man,2.157559320943788,0,True,Southampton,7.65
0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,False,False,Adult,1,7.8958,0,3,False,3,man,2.1855792552411137,0,True,Southampton,7.9
0,3,male,28.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False,False,Adult,1,8.05,0,3,False,3,man,2.2027647577118348,0,True,Southampton,8.05
1,2,male,0.83,0,2,29.0,S,Second,child,False,,Southampton,yes,False,True,False,Child,3,9.666666666666666,0,2,True,5,child,3.4011973816621555,2,False,Southampton,29.0
1,3,female,30.0,0,0,12.475,S,Third,woman,False,,Southampton,yes,True,False,False,Adult,1,12.475,1,3,True,5,woman,2.600836116795061,0,True,Southampton,12.48
0,3,male,22.0,0,0,9.0,S,Third,man,True,,Southampton,no,True,False,False,Adult,1,9.0,0,3,False,3,man,2.302585092994046,0,True,Southampton,9.0
1,3,male,29.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True,False,False,Adult,1,9.5,0,3,True,3,man,2.3513752571634776,0,True,Southampton,9.5
1,3,female,28.0,0,0,7.7875,Q,Third,woman,False,,Queenstown,yes,True,False,False,Adult,1,7.7875,1,3,True,5,woman,2.1733302571367834,0,True,Queenstown,7.79
0,1,male,28.0,0,0,47.1,S,First,man,True,,Southampton,no,True,False,False,Adult,1,47.1,0,1,False,3,man,3.8732821771117156,0,True,Southampton,47.1
1,2,female,17.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,False,False,Teen,1,10.5,1,2,True,5,woman,2.4423470353692043,0,True,Southampton,10.5
1,3,female,33.0,3,0,15.85,S,Third,woman,False,,Southampton,yes,False,False,False,Adult,4,3.9625,1,3,True,5,woman,2.8243506567983707,3,False,Southampton,15.85
0,3,male,16.0,1,3,34.375,S,Third,man,True,,Southampton,no,False,False,False,Teen,5,6.875,0,3,False,3,man,3.5660053559634015,4,False,Southampton,34.38
0,3,male,28.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False,False,Adult,1,8.05,0,3,False,3,man,2.2027647577118348,0,True,Southampton,8.05
1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,False,False,Adult,6,43.833333333333336,1,1,True,5,woman,5.575949103146316,5,False,Southampton,263.0
0,3,male,24.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False,False,Adult,1,8.05,0,3,False,3,man,2.2027647577118348,0,True,Southampton,8.05
0,3,male,29.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False,False,Adult,1,8.05,0,3,False,3,man,2.2027647577118348,0,True,Southampton,8.05
0,3,male,20.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,False,False,Adult,1,7.8542,0,3,False,3,man,2.180891922715322,0,True,Southampton,7.85
0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False,False,False,Adult,2,30.5875,0,1,False,3,man,4.1299529896894684,1,False,Southampton,61.18
0,3,male,26.0,1,2,20.575,S,Third,man,True,,Southampton,no,False,False,False,Adult,4,5.14375,0,3,False,3,man,3.0715352369694915,3,False,Southampton,20.58
0,3,male,59.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,False,False,Adult,1,7.25,0,3,False,3,man,2.1102132003465894,0,True,Southampton,7.25
0,3,male,28.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False,False,Adult,1,8.05,0,3,False,3,man,2.2027647577118348,0,True,Southampton,8.05
0,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True,False,True,Senior,1,34.6542,0,1,False,3,man,3.57386695198272,0,True,Cherbourg,34.65
1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False,False,False,Adult,2,31.67915,0,1,True,3,man,4.164465907853638,1,False,Cherbourg,63.36
1,2,female,34.0,0,1,23.0,S,Second,woman,False,,Southampton,yes,False,False,False,Adult,2,11.5,1,2,True,5,woman,3.1780538303479458,1,False,Southampton,23.0
0,2,male,34.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,False,False,Adult,2,13.0,0,2,False,3,man,3.295836866004329,1,False,Southampton,26.0
0,3,female,28.0,0,0,7.8958,S,Third,woman,False,,Southampton,no,True,False,False,Adult,1,7.8958,1,3,False,5,woman,2.1855792552411137,0,True,Southampton,7.9
0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,False,False,Adult,1,7.8958,0,3,False,3,man,2.1855792552411137,0,True,Southampton,7.9
0,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,False,False,Adult,2,38.64375,0,1,False,3,man,4.360387947851531,1,False,Southampton,77.29
0,3,male,33.0,0,0,8.6542,S,Third,man,True,,Southampton,no,True,False,False,Adult,1,8.6542,0,3,False,3,man,2.267393053825037,0,True,Southampton,8.65
0,3,male,37.0,2,0,7.925,S,Third,man,True,,Southampton,no,False,False,False,Adult,3,2.6416666666666666,0,3,False,3,man,2.188856327665703,2,False,Southampton,7.92
0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,False,False,Adult,1,7.8958,0,3,False,3,man,2.1855792552411137,0,True,Southampton,7.9
1,3,female,21.0,0,0,7.65,S,Third,woman,False,,Southampton,yes,True,False,False,Adult,1,7.65,1,3,True,5,woman,2.157559320943788,0,True,Southampton,7.65
1,3,male,28.0,0,0,7.775,S,Third,man,True,,Southampton,yes,True,False,False,Adult,1,7.775,0,3,True,3,man,2.1719067693519296,0,True,Southampton,7.78
0,3,male,38.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,False,False,Adult,1,7.8958,0,3,False,3,man,2.1855792552411137,0,True,Southampton,7.9
1,3,female,28.0,1,0,24.15,Q,Third,woman,False,,Queenstown,yes,False,False,False,Adult,2,12.075,1,3,True,5,woman,3.224857896545748,1,False,Queenstown,24.15
0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True,False,False,Adult,1,52.0,0,1,False,3,man,3.970291913552122,0,True,Southampton,52.0
0,3,female,14.5,1,0,14.4542,C,Third,child,False,,Cherbourg,no,False,False,False,Teen,2,7.2271,1,3,False,5,child,2.737880811060884,1,False,Cherbourg,14.45
0,3,male,22.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False,False,Adult,1,8.05,0,3,False,3,man,2.2027647577118348,0,True,Southampton,8.05
0,3,female,20.0,1,0,9.825,S,Third,woman,False,,Southampton,no,False,False,False,Adult,2,4.9125,1,3,False,5,woman,2.3818582738885534,1,False,Southampton,9.82
0,3,female,17.0,0,0,14.4583,C,Third,woman,False,,Cherbourg,no,True,False,False,Teen,1,14.4583,1,3,False,5,woman,2.738146075922933,0,True,Cherbourg,14.46
0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,False,False,Adult,1,7.925,0,3,False,3,man,2.188856327665703,0,True,Southampton,7.92
0,3,male,70.5,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,False,True,Senior,1,7.75,0,3,False,3,man,2.169053700369523,0,True,Queenstown,7.75
0,2,male,29.0,1,0,21.0,S,Second,man,True,,Southampton,no,False,False,False,Adult,2,10.5,0,2,False,3,man,3.091042453358316,1,False,Southampton,21.0
0,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False,False,False,Adult,2,123.7604,0,1,False,3,man,5.515526544247129,1,False,Cherbourg,247.52
0,3,female,2.0,4,2,31.275,S,Third,child,False,,Southampton,no,False,True,False,Child,7,4.4678571428571425,1,3,False,5,child,3.4742929367327062,6,False,Southampton,31.28
0,2,male,21.0,2,0,73.5,S,Second,man,True,,Southampton,no,False,False,False,Adult,3,24.5,0,2,False,3,man,4.310799125385514,2,False,Southampton,73.5
0,3,male,28.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False,False,Adult,1,8.05,0,3,False,3,man,2.2027647577118348,0,True,Southampton,8.05
0,2,male,32.5,1,0,30.0708,C,Second,man,True,,Cherbourg,no,False,False,False,Adult,2,15.0354,0,2,False,3,man,3.436268471383741,1,False,Cherbourg,30.07
1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True,False,False,Adult,1,13.0,1,2,True,5,woman,2.6390573296152584,0,True,Southampton,13.0
0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,False,False,Adult,2,38.64375,0,1,False,3,man,4.360387947851531,1,False,Southampton,77.29
1,3,male,12.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,False,False,Child,2,5.62085,0,3,True,5,child,2.5048481563289,1,False,Cherbourg,11.24
0,3,male,28.0,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,False,False,Adult,1,7.75,0,3,False,3,man,2.169053700369523,0,True,Queenstown,7.75
1,3,male,24.0,0,0,7.1417,S,Third,man,True,,Southampton,yes,True,False,False,Adult,1,7.1417,0,3,True,3,man,2.0969990034181696,0,True,Southampton,7.14
1,3,female,28.0,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False,False,False,Adult,3,7.452766666666666,1,3,True,5,woman,3.1509523813392697,2,False,Cherbourg,22.36
0,3,male,45.0,0,0,6.975,S,Third,man,True,,Southampton,no,True,False,False,Adult,1,6.975,0,3,False,3,man,2.076311648670908,0,True,Southampton,6.98
0,3,male,33.0,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,False,False,Adult,1,7.8958,0,3,False,3,man,2.1855792552411137,0,True,Cherbourg,7.9
0,3,male,20.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,False,False,Adult,1,7.05,0,3,False,3,man,2.0856720914304723,0,True,Southampton,7.05
0,3,female,47.0,1,0,14.5,S,Third,woman,False,,Southampton,no,False,False,False,Adult,2,7.25,1,3,False,5,woman,2.740840023925201,1,False,Southampton,14.5
1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,False,False,Adult,2,13.0,1,2,True,5,woman,3.295836866004329,1,False,Southampton,26.0
0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,False,False,Adult,1,13.0,0,2,False,3,man,2.6390573296152584,0,True,Southampton,13.0
0,2,male,23.0,0,0,15.0458,C,Second,man,True,,Cherbourg,no,True,False,False,Adult,1,15.0458,0,2,False,3,man,2.775447133088262,0,True,Cherbourg,15.05
1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False,False,False,Adult,3,8.7611,1,1,True,5,woman,3.3062747934011893,2,False,Southampton,26.28
0,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False,False,False,Adult,2,26.55,0,1,False,3,man,3.9908341858524357,1,False,Southampton,53.1
0,3,male,16.0,0,0,9.2167,S,Third,man,True,,Southampton,no,True,False,False,Teen,1,9.2167,0,3,False,3,man,2.3240236363515288,0,True,Southampton,9.22
0,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True,False,False,Adult,1,79.2,0,1,False,3,man,4.384523514872469,0,True,Cherbourg,79.2
0,3,female,28.0,0,2,15.2458,C,Third,woman,False,,Cherbourg,no,False,False,False,Adult,3,5.081933333333333,1,3,False,5,woman,2.7878344138303452,2,False,Cherbourg,15.25
1,3,female,22.0,0,0,7.75,S,Third,woman,False,,Southampton,yes,True,False,False,Adult,1,7.75,1,3,True,5,woman,2.169053700369523,0,True,Southampton,7.75
1,3,female,24.0,1,0,15.85,S,Third,woman,False,,Southampton,yes,False,False,False,Adult,2,7.925,1,3,True,5,woman,2.8243506567983707,1,False,Southampton,15.85
0,3,male,19.0,0,0,6.75,Q,Third,man,True,,Queenstown,no,True,False,False,Adult,1,6.75,0,3,False,3,man,2.0476928433652555,0,True,Queenstown,6.75
0,2,male,18.0,0,0,11.5,S,Second,man,True,,Southampton,no,True,False,False,Teen,1,11.5,0,2,False,3,man,2.5257286443082556,0,True,Southampton,11.5
0,2,male,19.0,1,1,36.75,S,Second,man,True,,Southampton,no,False,False,False,Adult,3,12.25,0,2,False,3,man,3.6309854756950335,2,False,Southampton,36.75
1,3,male,27.0,0,0,7.7958,S,Third,man,True,,Southampton,yes,True,False,False,Adult,1,7.7958,0,3,True,3,man,2.174274334826008,0,True,Southampton,7.8
0,3,female,9.0,2,2,34.375,S,Third,child,False,,Southampton,no,False,True,False,Child,5,6.875,1,3,False,5,child,3.5660053559634015,4,False,Southampton,34.38
0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False,False,False,Adult,3,8.666666666666666,0,2,False,3,man,3.295836866004329,2,False,Southampton,26.0
0,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,False,False,Adult,1,13.0,0,2,False,3,man,2.6390573296152584,0,True,Southampton,13.0
0,2,male,51.0,0,0,12.525,S,Second,man,True,,Southampton,no,True,False,False,Adult,1,12.525,0,2,False,3,man,2.6045398247325453,0,True,Southampton,12.52
1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False,False,False,Adult,2,33.3,1,1,True,5,woman,4.213607983048918,1,False,Southampton,66.6
0,3,male,55.5,0,0,8.05,S,Third,man,True,,Southampton,no,True,False,False,Adult,1,8.05,0,3,False,3,man,2.2027647577118348,0,True,Southampton,8.05
0,3,male,40.5,0,2,14.5,S,Third,man,True,,Southampton,no,False,False,False,Adult,3,4.833333333333333,0,3,False,3,man,2.740840023925201,2,False,Southampton,14.5
0,3,male,28.0,0,0,7.3125,S,Third,man,True,,Southampton,no,True,False,False,Adult,1,7.3125,0,3,False,3,man,2.1177604059819726,0,True,Southampton,7.31
0,1,male,51.0,0,1,61.3792,C,First,man,True,,Cherbourg,no,False,False,False,Adult,2,30.6896,0,1,False,3,man,4.133231886474144,1,False,Cherbourg,61.38
1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,,Queenstown,yes,True,False,False,Teen,1,7.7333,1,3,True,5,woman,2.167143305297764,0,True,Queenstown,7.73
0,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False,False,Adult,1,8.05,0,3,False,3,man,2.2027647577118348,0,True,Southampton,8.05
0,3,male,28.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,False,False,Adult,1,8.6625,0,3,False,3,man,2.2682524139135403,0,True,Southampton,8.66
0,3,male,28.0,8,2,69.55,S,Third,man,True,,Southampton,no,False,False,False,Adult,11,6.322727272727272,0,3,False,3,man,4.256321678298823,10,False,Southampton,69.55
